geoName,CSR
Andaman and Nicobar Islands,0
Andhra Pradesh,41
Arunachal Pradesh,0
Assam,51
Bihar,31
Chandigarh,88
Chhattisgarh,63
Dadra and Nagar Haveli,0
Daman and Diu,0
Delhi,93
Goa,82
Gujarat,61
Haryana,91
Himachal Pradesh,69
Jammu and Kashmir,69
Jharkhand,55
Karnataka,83
Kerala,58
Lakshadweep,0
Madhya Pradesh,38
Maharashtra,95
Manipur,0
Meghalaya,0
Mizoram,0
Nagaland,0
Odisha,62
Puducherry,0
Punjab,58
Rajasthan,39
Sikkim,0
Tamil Nadu,100
Telangana,69
Tripura,0
Uttar Pradesh,47
Uttarakhand,68
West Bengal,48
